alert_id,complaint_id,created_at,status,severity,policy_version
ALT-000001,CMP-000001,2026-03-20T01:48:21+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000002,CMP-000002,2026-02-17T02:57:24+00:00,ACTIONED,LOW,POLICY-v1
ALT-000003,CMP-000003,2026-01-16T08:51:39+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000004,CMP-000004,2026-03-26T15:31:27+00:00,PENDING,HIGH,POLICY-v1
ALT-000005,CMP-000005,2026-06-26T06:54:14+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000006,CMP-000006,2026-05-15T22:36:01+00:00,PENDING,HIGH,POLICY-v1
ALT-000007,CMP-000007,2026-03-02T20:41:42+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000008,CMP-000008,2026-01-25T02:49:43+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000009,CMP-000009,2026-01-05T14:21:35+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000010,CMP-000010,2026-01-29T06:34:37+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000011,CMP-000011,2026-01-08T11:36:11+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000012,CMP-000012,2026-04-02T00:10:53+00:00,EXPIRED,LOW,POLICY-v1
ALT-000013,CMP-000013,2026-02-18T17:24:56+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000014,CMP-000014,2026-04-29T10:42:08+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000015,CMP-000015,2026-03-29T20:57:54+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000016,CMP-000016,2026-06-02T00:18:40+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000017,CMP-000017,2026-06-12T04:06:45+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000018,CMP-000018,2026-04-09T16:08:32+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000019,CMP-000019,2026-03-26T05:33:53+00:00,PENDING,LOW,POLICY-v1
ALT-000020,CMP-000020,2026-04-04T10:21:22+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000021,CMP-000021,2026-06-23T07:17:05+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000022,CMP-000022,2026-05-14T23:03:25+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000023,CMP-000023,2026-04-27T13:25:40+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000024,CMP-000024,2026-03-15T05:04:35+00:00,EXPIRED,LOW,POLICY-v1
ALT-000025,CMP-000025,2026-02-08T14:11:11+00:00,ACTIONED,MEDIUM,POLICY-v1
