complaint_id,reported_at,fraud_type,reported_amount,state,district,reporting_channel,victim_entity_id,initial_priority,data_classification
CMP-000001,2026-03-20T01:48:21+00:00,Remote Access,18806.18,Rajasthan,Jaipur,Police Station,ENT-001765,HIGH,SYNTHETIC
CMP-000002,2026-02-17T02:57:24+00:00,Impersonation,2914.98,Maharashtra,Nagpur,Citizen App,ENT-010062,HIGH,SYNTHETIC
CMP-000003,2026-01-16T08:51:39+00:00,Card Fraud,25858.23,Maharashtra,Thane,Police Station,ENT-006052,MEDIUM,SYNTHETIC
CMP-000004,2026-03-26T15:31:27+00:00,Phishing,6665.34,Telangana,Warangal,Bank Referral,ENT-007425,HIGH,SYNTHETIC
CMP-000005,2026-06-26T06:54:14+00:00,Marketplace,9453.15,Madhya Pradesh,Bhopal,Bank Referral,ENT-003093,MEDIUM,SYNTHETIC
CMP-000006,2026-05-15T22:36:01+00:00,Card Fraud,170208.36,Bihar,Bhagalpur,Police Station,ENT-008961,HIGH,SYNTHETIC
CMP-000007,2026-03-02T20:41:42+00:00,Impersonation,15310.59,Delhi,West Delhi,1930,ENT-001954,LOW,SYNTHETIC
CMP-000008,2026-01-25T02:49:43+00:00,UPI,15621.41,Maharashtra,Thane,Portal,ENT-009220,LOW,SYNTHETIC
CMP-000009,2026-01-05T14:21:35+00:00,Impersonation,39454.62,Tamil Nadu,Coimbatore,Citizen App,ENT-011417,LOW,SYNTHETIC
CMP-000010,2026-01-29T06:34:37+00:00,Marketplace,5322.28,Telangana,Warangal,Portal,ENT-008837,MEDIUM,SYNTHETIC
CMP-000011,2026-01-08T11:36:11+00:00,Card Fraud,1212.85,Rajasthan,Kota,Bank Referral,ENT-009933,MEDIUM,SYNTHETIC
CMP-000012,2026-04-02T00:10:53+00:00,Marketplace,35585.92,Bihar,Patna,1930,ENT-000183,HIGH,SYNTHETIC
CMP-000013,2026-02-18T17:24:56+00:00,Investment,8771.88,Karnataka,Mysuru,Citizen App,ENT-000019,LOW,SYNTHETIC
CMP-000014,2026-04-29T10:42:08+00:00,Remote Access,6351.88,West Bengal,Kolkata,Bank Referral,ENT-001354,HIGH,SYNTHETIC
CMP-000015,2026-03-29T20:57:54+00:00,Phishing,5444.17,Bihar,Patna,Citizen App,ENT-009200,HIGH,SYNTHETIC
CMP-000016,2026-06-02T00:18:40+00:00,Marketplace,15534.32,Karnataka,Mysuru,Citizen App,ENT-004181,HIGH,SYNTHETIC
CMP-000017,2026-06-12T04:06:45+00:00,Marketplace,10122.89,Tamil Nadu,Coimbatore,Bank Referral,ENT-009976,MEDIUM,SYNTHETIC
CMP-000018,2026-04-09T16:08:32+00:00,Marketplace,2218.44,Maharashtra,Mumbai,Citizen App,ENT-000134,LOW,SYNTHETIC
CMP-000019,2026-03-26T05:33:53+00:00,UPI,4872.95,Bihar,Muzaffarpur,Bank Referral,ENT-007304,LOW,SYNTHETIC
CMP-000020,2026-04-04T10:21:22+00:00,UPI,6611.58,Uttar Pradesh,Kanpur Nagar,Citizen App,ENT-000775,HIGH,SYNTHETIC
CMP-000021,2026-06-23T07:17:05+00:00,Investment,44154.01,Uttar Pradesh,Kanpur Nagar,Citizen App,ENT-007575,HIGH,SYNTHETIC
CMP-000022,2026-05-14T23:03:25+00:00,Impersonation,14481.47,Uttar Pradesh,Varanasi,Citizen App,ENT-000876,HIGH,SYNTHETIC
CMP-000023,2026-04-27T13:25:40+00:00,Card Fraud,15867.82,Uttar Pradesh,Varanasi,Citizen App,ENT-007216,HIGH,SYNTHETIC
CMP-000024,2026-03-15T05:04:35+00:00,UPI,17892.1,Madhya Pradesh,Jabalpur,1930,ENT-008685,LOW,SYNTHETIC
