endpoint_id,endpoint_type,state,district,latitude,longitude,h3_cell
EP-00001,AePS_BC,Uttar Pradesh,Jaunpur,29.44175,79.521284,H3-2609997577014
EP-00002,POS_Cashback,Bihar,Patna,11.168243,83.408428,H3-8181816264792
EP-00003,Bank_Branch,Rajasthan,Udaipur,21.799862,68.085914,H3-9352689258905
EP-00004,AePS_BC,Karnataka,Mangaluru,9.199348,84.211335,H3-5262117861122
EP-00005,ATM,Maharashtra,Nagpur,9.701322,78.633993,H3-6648013655956
EP-00006,Prepaid,Rajasthan,Udaipur,13.945622,81.921705,H3-4903108004125
EP-00007,ATM,Uttar Pradesh,Kanpur Nagar,16.223348,82.535382,H3-4253194373909
EP-00008,ATM,Tamil Nadu,Coimbatore,18.373608,74.482424,H3-6781436732902
EP-00009,Merchant_QR,Telangana,Hyderabad,16.589707,84.928889,H3-4984012627325
EP-00010,AePS_BC,Delhi,South East Delhi,16.553562,69.03893,H3-7017596247152
EP-00011,Bank_Branch,Uttar Pradesh,Varanasi,13.373371,88.252008,H3-9976658626136
EP-00012,Crypto_P2P,Delhi,New Delhi,21.989778,76.430474,H3-7888387376971
EP-00013,Merchant_QR,Madhya Pradesh,Bhopal,29.397787,79.889808,H3-7532178582517
EP-00014,ATM,Madhya Pradesh,Bhopal,18.102168,81.605704,H3-6842194064161
EP-00015,AePS_BC,Uttar Pradesh,Varanasi,15.504592,79.159741,H3-7179137640073
EP-00016,ATM,Karnataka,Bengaluru Urban,19.409109,69.355053,H3-6228000637390
EP-00017,Merchant_QR,Delhi,South East Delhi,18.704343,71.464632,H3-9577400777526
EP-00018,AePS_BC,Madhya Pradesh,Bhopal,10.175454,80.699916,H3-9833248804275
EP-00019,Bank_Branch,Telangana,Warangal,15.410538,86.473223,H3-8613481278566
EP-00020,Merchant_QR,Uttar Pradesh,Lucknow,17.049715,71.331517,H3-6769641262393
EP-00021,AePS_BC,Bihar,Gaya,29.583782,73.784672,H3-4839499579350
EP-00022,AePS_BC,Bihar,Bhagalpur,14.89806,80.846054,H3-1444643170977
EP-00023,ATM,Rajasthan,Kota,19.979536,82.492194,H3-4492573763743
EP-00024,AePS_BC,Uttar Pradesh,Lucknow,25.240645,77.289546,H3-5827821725829
EP-00025,Prepaid,Maharashtra,Nashik,29.341679,81.301934,H3-1248576478671
EP-00026,Merchant_QR,Telangana,Hyderabad,14.548096,71.872609,H3-5798886939336
EP-00027,Bank_Branch,Karnataka,Mysuru,9.646875,71.730516,H3-9492716683520
EP-00028,ATM,Tamil Nadu,Chennai,18.331121,79.920475,H3-3620791040182
EP-00029,ATM,Maharashtra,Mumbai,8.866792,74.738925,H3-8885319528867
EP-00030,ATM,Telangana,Warangal,25.363088,79.054033,H3-1386718780717
EP-00031,POS_Cashback,Tamil Nadu,Chennai,16.796341,85.822474,H3-5518731157346
EP-00032,ATM,West Bengal,Howrah,16.182751,80.827704,H3-7343221493437
EP-00033,AePS_BC,Bihar,Gaya,22.448612,77.809597,H3-1759808148418
EP-00034,POS_Cashback,Madhya Pradesh,Jabalpur,10.699914,78.774257,H3-5275632319605
EP-00035,Bank_Branch,Maharashtra,Thane,8.545989,74.644305,H3-9557115819702
EP-00036,Bank_Branch,Madhya Pradesh,Jabalpur,16.786095,88.409702,H3-5443154700506
EP-00037,AePS_BC,Karnataka,Mangaluru,20.365771,71.098737,H3-1962777627300
EP-00038,Prepaid,Maharashtra,Thane,23.930924,87.314669,H3-6420318938375
EP-00039,ATM,Rajasthan,Udaipur,29.521032,82.831892,H3-8684235919762
EP-00040,Merchant_QR,Delhi,West Delhi,29.786909,84.765814,H3-3401536587109
EP-00041,POS_Cashback,Karnataka,Bengaluru Urban,21.982785,71.823251,H3-9078676946880
EP-00042,ATM,Telangana,Hyderabad,9.297542,71.584722,H3-6889028490233
EP-00043,Merchant_QR,Delhi,New Delhi,27.6841,82.803644,H3-3606809629809
EP-00044,ATM,Maharashtra,Nashik,19.837733,69.75527,H3-8732602945529
EP-00045,Bank_Branch,Tamil Nadu,Coimbatore,20.784832,83.576453,H3-2714281343112
EP-00046,Crypto_P2P,Telangana,Nizamabad,15.442534,86.816912,H3-1864215332120
EP-00047,Bank_Branch,Karnataka,Bengaluru Urban,16.75611,73.332798,H3-9149260736437
EP-00048,Bank_Branch,Madhya Pradesh,Bhopal,13.516603,87.968128,H3-9982553115450
EP-00049,Merchant_QR,Bihar,Muzaffarpur,30.454177,76.842099,H3-3745970388084
EP-00050,Crypto_P2P,Madhya Pradesh,Indore,24.564175,82.597181,H3-6562849983849
EP-00051,Merchant_QR,Rajasthan,Udaipur,27.87641,77.829271,H3-5749168280152
