entity_id,entity_type,state,external_ref,linked_entity_count,synthetic_risk_seed
ENT-000001,BENEFICIARY,Madhya Pradesh,ENT-REF-765480,22,0.233
ENT-000002,ACCOUNT,Telangana,ENT-REF-173855,23,0.3074
ENT-000003,PHONE,Tamil Nadu,ENT-REF-510610,24,0.219
ENT-000004,PHONE,Maharashtra,ENT-REF-700515,65,0.2679
ENT-000005,BENEFICIARY,Karnataka,ENT-REF-726607,1,0.0861
ENT-000006,BENEFICIARY,Madhya Pradesh,ENT-REF-441205,68,0.2679
ENT-000007,ACCOUNT,Rajasthan,ENT-REF-695332,71,0.1964
ENT-000008,PHONE,Telangana,ENT-REF-898547,75,0.0756
ENT-000009,ACCOUNT,Bihar,ENT-REF-134717,63,0.2169
ENT-000010,ACCOUNT,Tamil Nadu,ENT-REF-240827,23,0.2533
ENT-000011,WALLET,Rajasthan,ENT-REF-305882,43,0.1805
ENT-000012,BENEFICIARY,Telangana,ENT-REF-592891,15,0.2978
ENT-000013,MERCHANT,Maharashtra,ENT-REF-170554,69,0.1977
ENT-000014,ACCOUNT,Madhya Pradesh,ENT-REF-400293,31,0.4168
ENT-000015,WALLET,Bihar,ENT-REF-136121,51,0.1478
ENT-000016,ACCOUNT,Karnataka,ENT-REF-266971,4,0.024
ENT-000017,BENEFICIARY,Rajasthan,ENT-REF-213689,44,0.0573
ENT-000018,WALLET,Bihar,ENT-REF-345134,20,0.2598
ENT-000019,WALLET,Bihar,ENT-REF-552284,62,0.3793
ENT-000020,PHONE,Karnataka,ENT-REF-363541,44,0.0111
ENT-000021,BENEFICIARY,Uttar Pradesh,ENT-REF-738337,36,0.4614
ENT-000022,ACCOUNT,Telangana,ENT-REF-922848,64,0.2754
ENT-000023,DEVICE,Rajasthan,ENT-REF-291158,31,0.1405
ENT-000024,ACCOUNT,Tamil Nadu,ENT-REF-546235,57,0.0639
ENT-000025,ACCOUNT,West Bengal,ENT-REF-793249,46,0.1882
ENT-000026,ACCOUNT,Delhi,ENT-REF-550058,32,0.2595
ENT-000027,ACCOUNT,Tamil Nadu,ENT-REF-223001,73,0.2896
ENT-000028,MERCHANT,Maharashtra,ENT-REF-630953,63,0.1076
ENT-000029,PHONE,Telangana,ENT-REF-803910,36,0.0726
ENT-000030,WALLET,Karnataka,ENT-REF-982684,55,0.4043
ENT-000031,WALLET,Karnataka,ENT-REF-361943,21,0.3609
ENT-000032,DEVICE,Madhya Pradesh,ENT-REF-601314,44,0.1338
ENT-000033,BENEFICIARY,Uttar Pradesh,ENT-REF-720949,13,0.2768
ENT-000034,WALLET,Tamil Nadu,ENT-REF-670862,32,0.0258
ENT-000035,ACCOUNT,Uttar Pradesh,ENT-REF-480305,2,0.2626
ENT-000036,ACCOUNT,West Bengal,ENT-REF-982667,42,0.1147
ENT-000037,ACCOUNT,West Bengal,ENT-REF-949616,45,0.0695
ENT-000038,MERCHANT,West Bengal,ENT-REF-120463,67,0.1077
ENT-000039,PHONE,Karnataka,ENT-REF-927272,35,0.0582
ENT-000040,ACCOUNT,Uttar Pradesh,ENT-REF-336118,32,0.1175
ENT-000041,WALLET,Uttar Pradesh,ENT-REF-331362,64,0.3015
ENT-000042,PHONE,Uttar Pradesh,ENT-REF-455130,50,0.2975
ENT-000043,BENEFICIARY,Madhya Pradesh,ENT-REF-600209,62,0.1306
ENT-000044,ACCOUNT,West Bengal,ENT-REF-801053,66,0.2322
ENT-000045,ACCOUNT,Madhya Pradesh,ENT-REF-217326,70,0.1186
ENT-000046,ACCOUNT,Madhya Pradesh,ENT-REF-119600,23,0.0181
ENT-000047,PHONE,Madhya Pradesh,ENT-REF-217097,8,0.1544
ENT-000048,ACCOUNT,Madhya Pradesh,ENT-REF-234249,16,0.2931
ENT-000049,MERCHANT,Uttar Pradesh,ENT-REF-203017,35,0.1487
ENT-000050,ACCOUNT,Delhi,ENT-REF-340037,70,0.4645
ENT-000051,MERCHANT,Delhi,ENT-REF-609782,50,0.3426
ENT-000052,DEVICE,Tamil Nadu,ENT-REF-780854,55,0.1434
ENT-000053,WALLET,Telangana,ENT-REF-426530,14,0.0613
ENT-000054,ACCOUNT,Tamil Nadu,ENT-REF-939825,61,0.0399
ENT-000055,ACCOUNT,Tamil Nadu,ENT-REF-465318,60,0.3154
ENT-000056,DEVICE,West Bengal,ENT-REF-627246,50,0.0145
ENT-000057,ACCOUNT,Karnataka,ENT-REF-519519,32,0.2423
ENT-000058,PHONE,Madhya Pradesh,ENT-REF-655582,26,0.1451
ENT-000059,PHONE,Telangana,ENT-REF-641414,61,0.3666
ENT-000060,ACCOUNT,Rajasthan,ENT-REF-366860,50,0.2127
ENT-000061,BENEFICIARY,Karnataka,ENT-REF-881384,5,0.0785
ENT-000062,WALLET,West Bengal,ENT-REF-826561,25,0.517
ENT-000063,WALLET,Madhya Pradesh,ENT-REF-570534,21,0.0634
ENT-000064,PHONE,Karnataka,ENT-REF-640234,76,0.1517
ENT-000065,ACCOUNT,Uttar Pradesh,ENT-REF-769358,39,0.0831
ENT-000066,DEVICE,Delhi,ENT-REF-562100,31,0.2173
ENT-000067,MERCHANT,Rajasthan,ENT-REF-983794,59,0.2625
ENT-000068,PHONE,Uttar Pradesh,ENT-REF-617050,32,0.3066
ENT-000069,DEVICE,Rajasthan,ENT-REF-104822,35,0.2451
ENT-000070,BENEFICIARY,Rajasthan,ENT-REF-139585,42,0.0495
ENT-000071,MERCHANT,Telangana,ENT-REF-606315,45,0.0094
ENT-000072,ACCOUNT,Madhya Pradesh,ENT-REF-652566,16,0.1165
ENT-000073,PHONE,Madhya Pradesh,ENT-REF-814131,73,0.1234
ENT-000074,BENEFICIARY,Madhya Pradesh,ENT-REF-794882,73,0.4464
ENT-000075,ACCOUNT,Bihar,ENT-REF-845910,35,0.4593
ENT-000076,BENEFICIARY,Rajasthan,ENT-REF-348147,69,0.1138
ENT-000077,BENEFICIARY,Rajasthan,ENT-REF-347773,27,0.3676
ENT-000078,ACCOUNT,Telangana,ENT-REF-565866,77,0.1199
ENT-000079,WALLET,Bihar,ENT-REF-283665,35,0.1572
ENT-000080,ACCOUNT,Madhya Pradesh,ENT-REF-686620,50,0.0265
ENT-000081,BENEFICIARY,Madhya Pradesh,ENT-REF-810726,3,0.218
ENT-000082,DEVICE,Maharashtra,ENT-REF-976497,65,0.0951
