group_id,complaint_a,complaint_b,shared_entities,shared_endpoints,window_hours,decision,proposal_source
GRP-00001,CMP-005319,CMP-005490,12,4,4,REJECTED,HUMAN_REVIEW
GRP-00002,CMP-005375,CMP-000486,7,4,13,ACCEPTED,AUTO_SUGGESTED
GRP-00003,CMP-001981,CMP-009840,17,4,8,SPLIT,AUTO_SUGGESTED
GRP-00004,CMP-008216,CMP-001302,7,1,5,REJECTED,HUMAN_REVIEW
GRP-00005,CMP-007365,CMP-005994,13,1,6,SPLIT,HUMAN_REVIEW
GRP-00006,CMP-001335,CMP-008004,18,4,19,PROPOSED,AUTO_SUGGESTED
GRP-00007,CMP-004955,CMP-005585,18,2,14,SPLIT,HUMAN_REVIEW
GRP-00008,CMP-004494,CMP-007327,9,1,10,SPLIT,AUTO_SUGGESTED
GRP-00009,CMP-004514,CMP-002078,6,4,7,REJECTED,AUTO_SUGGESTED
GRP-00010,CMP-008256,CMP-001094,2,4,22,PROPOSED,HUMAN_REVIEW
GRP-00011,CMP-003321,CMP-002646,8,1,14,PROPOSED,HUMAN_REVIEW
GRP-00012,CMP-009085,CMP-003922,7,4,12,SPLIT,AUTO_SUGGESTED
GRP-00013,CMP-003346,CMP-004998,2,4,15,PROPOSED,HUMAN_REVIEW
GRP-00014,CMP-009546,CMP-001448,3,1,12,REJECTED,AUTO_SUGGESTED
GRP-00015,CMP-004658,CMP-009504,6,4,8,REJECTED,AUTO_SUGGESTED
GRP-00016,CMP-000870,CMP-006574,13,1,22,REJECTED,HUMAN_REVIEW
GRP-00017,CMP-002574,CMP-000292,4,4,16,PROPOSED,HUMAN_REVIEW
GRP-00018,CMP-002563,CMP-008127,4,2,20,PROPOSED,AUTO_SUGGESTED
GRP-00019,CMP-009396,CMP-000940,7,3,8,SPLIT,AUTO_SUGGESTED
GRP-00020,CMP-006899,CMP-005502,2,1,22,SPLIT,AUTO_SUGGESTED
GRP-00021,CMP-003424,CMP-002328,5,1,18,REJECTED,AUTO_SUGGESTED
GRP-00022,CMP-006185,CMP-002187,3,4,21,ACCEPTED,HUMAN_REVIEW
GRP-00023,CMP-002235,CMP-005038,15,1,4,SPLIT,HUMAN_REVIEW
GRP-00024,CMP-005337,CMP-008059,18,1,23,ACCEPTED,AUTO_SUGGESTED
GRP-00025,CMP-001895,CMP-003520,16,3,12,PROPOSED,AUTO_SUGGESTED
GRP-00026,CMP-008270,CMP-001542,17,4,17,PROPOSED,HUMAN_REVIEW
GRP-00027,CMP-002829,CMP-001259,14,2,23,PROPOSED,AUTO_SUGGESTED
GRP-00028,CMP-002172,CMP-006378,14,2,21,SPLIT,AUTO_SUGGESTED
GRP-00029,CMP-004251,CMP-005467,9,1,8,PROPOSED,AUTO_SUGGESTED
GRP-00030,CMP-009670,CMP-003358,19,3,9,ACCEPTED,HUMAN_REVIEW
GRP-00031,CMP-008609,CMP-004869,13,3,11,REJECTED,AUTO_SUGGESTED
GRP-00032,CMP-008512,CMP-002521,13,4,14,REJECTED,AUTO_SUGGESTED
GRP-00033,CMP-003120,CMP-000657,11,3,23,ACCEPTED,HUMAN_REVIEW
GRP-00034,CMP-001837,CMP-002890,7,3,6,ACCEPTED,AUTO_SUGGESTED
GRP-00035,CMP-004304,CMP-007604,14,1,11,PROPOSED,HUMAN_REVIEW
GRP-00036,CMP-007976,CMP-006923,12,2,3,SPLIT,HUMAN_REVIEW
GRP-00037,CMP-005381,CMP-007162,15,4,15,PROPOSED,AUTO_SUGGESTED
GRP-00038,CMP-009576,CMP-008263,7,1,8,PROPOSED,HUMAN_REVIEW
GRP-00039,CMP-003717,CMP-002364,2,4,14,SPLIT,AUTO_SUGGESTED
GRP-00040,CMP-004225,CMP-000478,19,3,9,REJECTED,HUMAN_REVIEW
GRP-00041,CMP-002720,CMP-005281,16,2,1,REJECTED,AUTO_SUGGESTED
GRP-00042,CMP-003570,CMP-004201,5,1,21,SPLIT,AUTO_SUGGESTED
GRP-00043,CMP-005957,CMP-002369,14,3,23,SPLIT,AUTO_SUGGESTED
GRP-00044,CMP-007239,CMP-007431,16,2,15,REJECTED,HUMAN_REVIEW
GRP-00045,CMP-004181,CMP-001361,14,4,18,PROPOSED,AUTO_SUGGESTED
GRP-00046,CMP-002887,CMP-004414,14,4,7,SPLIT,AUTO_SUGGESTED
GRP-00047,CMP-005300,CMP-003598,14,2,22,ACCEPTED,HUMAN_REVIEW
GRP-00048,CMP-000739,CMP-000860,19,3,15,ACCEPTED,HUMAN_REVIEW
GRP-00049,CMP-005436,CMP-002328,4,3,4,SPLIT,AUTO_SUGGESTED
GRP-00050,CMP-009535,CMP-008307,10,2,12,PROPOSED,AUTO_SUGGESTED
GRP-00051,CMP-000668,CMP-009231,6,2,4,ACCEPTED,AUTO_SUGGESTED
GRP-00052,CMP-001353,CMP-005335,9,2,4,REJECTED,HUMAN_REVIEW
GRP-00053,CMP-004241,CMP-002662,12,1,1,REJECTED,HUMAN_REVIEW
GRP-00054,CMP-008223,CMP-001673,13,3,20,ACCEPTED,HUMAN_REVIEW
GRP-00055,CMP-002241,CMP-009918,13,2,15,SPLIT,HUMAN_REVIEW
GRP-00056,CMP-004344,CMP-005005,12,4,8,PROPOSED,AUTO_SUGGESTED
GRP-00057,CMP-003580,CMP-006416,3,3,12,SPLIT,AUTO_SUGGESTED
GRP-00058,CMP-007394,CMP-005519,17,3,14,REJECTED,HUMAN_REVIEW
GRP-00059,CMP-003843,CMP-009879,18,2,12,PROPOSED,AUTO_SUGGESTED
