intervention_id,complaint_id,intervention_type,outcome,time_to_action_hours,recipient_response
INT-000001,CMP-000001,NO_ACTION,SUCCESS,10.67,NOT_ACTED
INT-000002,CMP-000002,ENDPOINT_WATCH,NO_ACTION,18.24,ACTED
INT-000003,CMP-000003,JURISDICTION_HANDOFF,SUCCESS,36.36,ALREADY_ACTIONED
INT-000004,CMP-000004,ENDPOINT_WATCH,SUCCESS,35.33,ALREADY_ACTIONED
INT-000005,CMP-000005,NO_ACTION,SUCCESS,19.68,ACTED
INT-000006,CMP-000006,LIEN_MARK,NO_ACTION,35.54,OUT_OF_SCOPE
INT-000007,CMP-000007,ENDPOINT_WATCH,SUCCESS,11.74,OUT_OF_SCOPE
INT-000008,CMP-000008,ACCOUNT_FREEZE,SUCCESS,14.2,ACTED
INT-000009,CMP-000009,ENDPOINT_WATCH,SUCCESS,39.91,ACTED
INT-000010,CMP-000010,LIEN_MARK,PARTIAL,45.36,ACTED
INT-000011,CMP-000011,ACCOUNT_FREEZE,SUCCESS,15.02,ACTED
INT-000012,CMP-000012,JURISDICTION_HANDOFF,SUCCESS,39.62,OUT_OF_SCOPE
INT-000013,CMP-000013,LIEN_MARK,SUCCESS,35.51,ALREADY_ACTIONED
INT-000014,CMP-000014,NO_ACTION,PARTIAL,44.8,ACTED
INT-000015,CMP-000015,ACCOUNT_FREEZE,SUCCESS,35.87,ACTED
INT-000016,CMP-000016,ACCOUNT_FREEZE,SUCCESS,43.71,FALSE_POSITIVE
INT-000017,CMP-000017,ENDPOINT_WATCH,PARTIAL,35.65,ALREADY_ACTIONED
INT-000018,CMP-000018,ENDPOINT_WATCH,SUCCESS,47.06,ACTED
INT-000019,CMP-000019,ENDPOINT_WATCH,SUCCESS,42.92,ALREADY_ACTIONED
INT-000020,CMP-000020,JURISDICTION_HANDOFF,SUCCESS,40.3,ACTED
INT-000021,CMP-000021,LIEN_MARK,NO_ACTION,44.97,ACTED
INT-000022,CMP-000022,ACCOUNT_FREEZE,PARTIAL,24.26,ACTED
INT-000023,CMP-000023,LIEN_MARK,NO_ACTION,13.33,OUT_OF_SCOPE
INT-000024,CMP-000024,ACCOUNT_FREEZE,SUCCESS,13.03,ALREADY_ACTIONED
INT-000025,CMP-000025,ACCOUNT_FREEZE,NO_ACTION,17.4,NOT_ACTED
INT-000026,CMP-000026,LIEN_MARK,SUCCESS,33.0,ACTED
INT-000027,CMP-000027,ACCOUNT_FREEZE,NO_ACTION,5.89,ACTED
INT-000028,CMP-000028,ENDPOINT_WATCH,SUCCESS,21.53,ACTED
INT-000029,CMP-000029,NO_ACTION,NO_ACTION,17.13,NOT_ACTED
INT-000030,CMP-000030,ACCOUNT_FREEZE,SUCCESS,35.89,ACTED
INT-000031,CMP-000031,NO_ACTION,SUCCESS,41.54,ACTED
INT-000032,CMP-000032,LIEN_MARK,SUCCESS,43.7,NOT_ACTED
INT-000033,CMP-000033,JURISDICTION_HANDOFF,PARTIAL,43.69,OUT_OF_SCOPE
INT-000034,CMP-000034,LIEN_MARK,NO_ACTION,46.04,NOT_ACTED
INT-000035,CMP-000035,JURISDICTION_HANDOFF,PARTIAL,27.25,ACTED
INT-000036,CMP-000036,NO_ACTION,NO_ACTION,15.84,ACTED
INT-000037,CMP-000037,ACCOUNT_FREEZE,SUCCESS,37.0,ACTED
INT-000038,CMP-000038,NO_ACTION,SUCCESS,3.76,FALSE_POSITIVE
INT-000039,CMP-000039,ACCOUNT_FREEZE,PARTIAL,25.91,ALREADY_ACTIONED
INT-000040,CMP-000040,LIEN_MARK,SUCCESS,28.17,ALREADY_ACTIONED
INT-000041,CMP-000041,LIEN_MARK,NO_ACTION,43.81,NOT_ACTED
INT-000042,CMP-000042,JURISDICTION_HANDOFF,NO_ACTION,19.23,ACTED
INT-000043,CMP-000043,LIEN_MARK,SUCCESS,31.45,ACTED
INT-000044,CMP-000044,ACCOUNT_FREEZE,SUCCESS,33.66,ACTED
INT-000045,CMP-000045,JURISDICTION_HANDOFF,SUCCESS,30.42,ACTED
INT-000046,CMP-000046,NO_ACTION,SUCCESS,28.34,ALREADY_ACTIONED
INT-000047,CMP-000047,JURISDICTION_HANDOFF,SUCCESS,11.69,NOT_ACTED
INT-000048,CMP-000048,LIEN_MARK,SUCCESS,6.75,ACTED
INT-000049,CMP-000049,ACCOUNT_FREEZE,SUCCESS,47.99,ACTED
INT-000050,CMP-000050,NO_ACTION,SUCCESS,43.42,FALSE_POSITIVE
INT-000051,CMP-000051,JURISDICTION_HANDOFF,SUCCESS,36.62,NOT_ACTED
INT-000052,CMP-000052,ACCOUNT_FREEZE,SUCCESS,26.58,ACTED
INT-000053,CMP-000053,NO_ACTION,PARTIAL,35.34,FALSE_POSITIVE
INT-000054,CMP-000054,ACCOUNT_FREEZE,PARTIAL,10.21,ACTED
INT-000055,CMP-000055,NO_ACTION,SUCCESS,47.09,ACTED
INT-000056,CMP-000056,JURISDICTION_HANDOFF,PARTIAL,11.39,ALREADY_ACTIONED
INT-000057,CMP-000057,NO_ACTION,SUCCESS,43.6,ACTED
INT-000058,CMP-000058,NO_ACTION,NO_ACTION,22.03,NOT_ACTED
INT-000059,CMP-000059,NO_ACTION,PARTIAL,29.17,ACTED
INT-000060,CMP-000060,ACCOUNT_FREEZE,PARTIAL,28.59,ALREADY_ACTIONED
INT-000061,CMP-000061,LIEN_MARK,PARTIAL,38.75,FALSE_POSITIVE
INT-000062,CMP-000062,LIEN_MARK,PARTIAL,42.62,FALSE_POSITIVE
INT-000063,CMP-000063,LIEN_MARK,NO_ACTION,26.86,ACTED
INT-000064,CMP-000064,NO_ACTION,PARTIAL,18.81,ACTED
INT-000065,CMP-000065,LIEN_MARK,SUCCESS,7.34,ACTED
INT-000066,CMP-000066,NO_ACTION,SUCCESS,16.33,NOT_ACTED
INT-000067,CMP-000067,ENDPOINT_WATCH,SUCCESS,39.71,ACTED
INT-000068,CMP-000068,JURISDICTION_HANDOFF,SUCCESS,4.61,ACTED
INT-000069,CMP-000069,ACCOUNT_FREEZE,PARTIAL,23.62,NOT_ACTED
INT-000070,CMP-000070,LIEN_MARK,SUCCESS,26.56,FALSE_POSITIVE
INT-000071,CMP-000071,JURISDICTION_HANDOFF,PARTIAL,46.42,ALREADY_ACTIONED
INT-000072,CMP-000072,JURISDICTION_HANDOFF,SUCCESS,20.58,ACTED
INT-000073,CMP-000073,JURISDICTION_HANDOFF,NO_ACTION,7.91,FALSE_POSITIVE
INT-000074,CMP-000074,ACCOUNT_FREEZE,SUCCESS,19.42,FALSE_POSITIVE
INT-000075,CMP-000075,NO_ACTION,SUCCESS,41.49,ACTED
INT-000076,CMP-000076,LIEN_MARK,SUCCESS,41.36,ACTED
INT-000077,CMP-000077,JURISDICTION_HANDOFF,SUCCESS,19.03,NOT_ACTED
INT-000078,CMP-000078,ENDPOINT_WATCH,NO_ACTION,31.34,NOT_ACTED
INT-000079,CMP-000079,ACCOUNT_FREEZE,PARTIAL,22.5,ACTED
INT-000080,CMP-000080,JURISDICTION_HANDOFF,SUCCESS,9.08,FALSE_POSITIVE
INT-000081,CMP-000081,JURISDICTION_HANDOFF,NO_ACTION,41.35,OUT_OF_SCOPE
INT-000082,CMP-000082,ENDPOINT_WATCH,PARTIAL,26.04,NOT_ACTED
INT-000083,CMP-000083,ENDPOINT_WATCH,SUCCESS,19.26,FALSE_POSITIVE
INT-000084,CMP-000084,JURISDICTION_HANDOFF,SUCCESS,13.71,OUT_OF_SCOPE
INT-000085,CMP-000085,ENDPOINT_WATCH,SUCCESS,38.88,ALREADY_ACTIONED
INT-000086,CMP-000086,LIEN_MARK,SUCCESS,16.9,ALREADY_ACTIONED
INT-000087,CMP-000087,ACCOUNT_FREEZE,SUCCESS,26.67,NOT_ACTED
INT-000088,CMP-000088,ACCOUNT_FREEZE,PARTIAL,16.64,NOT_ACTED
INT-000089,CMP-000089,ACCOUNT_FREEZE,PARTIAL,34.54,ACTED
INT-000090,CMP-000090,ENDPOINT_WATCH,SUCCESS,19.18,ALREADY_ACTIONED
INT-000091,CMP-000091,JURISDICTION_HANDOFF,NO_ACTION,6.94,ALREADY_ACTIONED
INT-000092,CMP-000092,NO_ACTION,SUCCESS,40.7,NOT_ACTED
INT-000093,CMP-000093,JURISDICTION_HANDOFF,NO_ACTION,34.66,NOT_ACTED
INT-000094,CMP-000094,JURISDICTION_HANDOFF,SUCCESS,47.5,ALREADY_ACTIONED
INT-000095,CMP-000095,LIEN_MARK,PARTIAL,46.89,ALREADY_ACTIONED
INT-000096,CMP-000096,ACCOUNT_FREEZE,SUCCESS,27.6,FALSE_POSITIVE
INT-000097,CMP-000097,NO_ACTION,SUCCESS,6.93,ACTED
INT-000098,CMP-000098,LIEN_MARK,PARTIAL,23.9,NOT_ACTED
INT-000099,CMP-000099,NO_ACTION,NO_ACTION,19.55,NOT_ACTED
INT-000100,CMP-000100,ACCOUNT_FREEZE,SUCCESS,36.57,ACTED
INT-000101,CMP-000101,NO_ACTION,PARTIAL,8.89,ALREADY_ACTIONED
INT-000102,CMP-000102,LIEN_MARK,SUCCESS,36.66,FALSE_POSITIVE
INT-000103,CMP-000103,JURISDICTION_HANDOFF,SUCCESS,31.19,NOT_ACTED
INT-000104,CMP-000104,NO_ACTION,SUCCESS,34.18,NOT_ACTED
INT-000105,CMP-000105,LIEN_MARK,NO_ACTION,9.91,OUT_OF_SCOPE
INT-000106,CMP-000106,NO_ACTION,SUCCESS,41.55,ACTED
INT-000107,CMP-000107,JURISDICTION_HANDOFF,SUCCESS,15.73,ACTED
INT-000108,CMP-000108,ACCOUNT_FREEZE,NO_ACTION,42.11,ALREADY_ACTIONED
INT-000109,CMP-000109,ACCOUNT_FREEZE,SUCCESS,23.33,ALREADY_ACTIONED
INT-000110,CMP-000110,JURISDICTION_HANDOFF,NO_ACTION,14.25,ACTED
INT-000111,CMP-000111,ENDPOINT_WATCH,SUCCESS,5.27,FALSE_POSITIVE
INT-000112,CMP-000112,JURISDICTION_HANDOFF,SUCCESS,20.92,NOT_ACTED
INT-000113,CMP-000113,LIEN_MARK,NO_ACTION,30.03,FALSE_POSITIVE
INT-000114,CMP-000114,JURISDICTION_HANDOFF,SUCCESS,3.66,FALSE_POSITIVE
INT-000115,CMP-000115,JURISDICTION_HANDOFF,SUCCESS,21.14,FALSE_POSITIVE
INT-000116,CMP-000116,LIEN_MARK,NO_ACTION,24.93,FALSE_POSITIVE
INT-000117,CMP-000117,ENDPOINT_WATCH,NO_ACTION,47.04,FALSE_POSITIVE
INT-000118,CMP-000118,ACCOUNT_FREEZE,SUCCESS,43.63,NOT_ACTED
INT-000119,CMP-000119,JURISDICTION_HANDOFF,PARTIAL,28.7,ACTED
INT-000120,CMP-000120,JURISDICTION_HANDOFF,SUCCESS,9.94,ACTED
INT-000121,CMP-000121,LIEN_MARK,PARTIAL,20.6,NOT_ACTED
INT-000122,CMP-000122,ACCOUNT_FREEZE,SUCCESS,38.55,FALSE_POSITIVE
INT-000123,CMP-000123,LIEN_MARK,SUCCESS,26.51,NOT_ACTED
INT-000124,CMP-000124,LIEN_MARK,SUCCESS,19.45,ACTED
INT-000125,CMP-000125,ENDPOINT_WATCH,PARTIAL,19.42,ACTED
INT-000126,CMP-000126,LIEN_MARK,PARTIAL,42.49,ACTED
INT-000127,CMP-000127,ENDPOINT_WATCH,NO_ACTION,45.27,ACTED
INT-000128,CMP-000128,ENDPOINT_WATCH,SUCCESS,15.67,NOT_ACTED
INT-000129,CMP-000129,ACCOUNT_FREEZE,SUCCESS,25.12,FALSE_POSITIVE
INT-000130,CMP-000130,ENDPOINT_WATCH,SUCCESS,10.93,ACTED
INT-000131,CMP-000131,ACCOUNT_FREEZE,SUCCESS,35.02,ACTED
INT-000132,CMP-000132,LIEN_MARK,SUCCESS,7.12,OUT_OF_SCOPE
INT-000133,CMP-000133,NO_ACTION,SUCCESS,13.61,ACTED
INT-000134,CMP-000134,ACCOUNT_FREEZE,PARTIAL,30.07,ALREADY_ACTIONED
INT-000135,CMP-000135,LIEN_MARK,SUCCESS,32.25,ACTED
INT-000136,CMP-000136,NO_ACTION,SUCCESS,13.38,OUT_OF_SCOPE
INT-000137,CMP-000137,NO_ACTION,PARTIAL,6.25,ALREADY_ACTIONED
INT-000138,CMP-000138,ACCOUNT_FREEZE,NO_ACTION,39.75,ACTED
INT-000139,CMP-000139,LIEN_MARK,PARTIAL,12.82,ALREADY_ACTIONED
INT-000140,CMP-000140,LIEN_MARK,SUCCESS,20.46,ACTED
INT-000141,CMP-000141,ACCOUNT_FREEZE,SUCCESS,9.11,ALREADY_ACTIONED
INT-000142,CMP-000142,NO_ACTION,SUCCESS,39.03,ALREADY_ACTIONED
INT-000143,CMP-000143,ENDPOINT_WATCH,SUCCESS,34.46,NOT_ACTED
INT-000144,CMP-000144,ACCOUNT_FREEZE,SUCCESS,25.43,ACTED
INT-000145,CMP-000145,JURISDICTION_HANDOFF,SUCCESS,38.38,ACTED
INT-000146,CMP-000146,ENDPOINT_WATCH,SUCCESS,46.34,OUT_OF_SCOPE
INT-000147,CMP-000147,JURISDICTION_HANDOFF,NO_ACTION,3.32,ALREADY_ACTIONED
INT-000148,CMP-000148,ENDPOINT_WATCH,SUCCESS,42.9,ACTED
INT-000149,CMP-000149,NO_ACTION,SUCCESS,24.31,ACTED
INT-000150,CMP-000150,JURISDICTION_HANDOFF,SUCCESS,15.78,ACTED
INT-000151,CMP-000151,JURISDICTION_HANDOFF,PARTIAL,36.1,ACTED
INT-000152,CMP-000152,JURISDICTION_HANDOFF,PARTIAL,15.94,OUT_OF_SCOPE
INT-000153,CMP-000153,ACCOUNT_FREEZE,PARTIAL,27.76,NOT_ACTED
INT-000154,CMP-000154,ACCOUNT_FREEZE,PARTIAL,24.58,NOT_ACTED
INT-000155,CMP-000155,LIEN_MARK,PARTIAL,37.66,NOT_ACTED
INT-000156,CMP-000156,ACCOUNT_FREEZE,SUCCESS,35.59,FALSE_POSITIVE
INT-000157,CMP-000157,LIEN_MARK,NO_ACTION,10.2,ACTED
INT-000158,CMP-000158,ENDPOINT_WATCH,PARTIAL,37.26,ACTED
INT-000159,CMP-000159,NO_ACTION,NO_ACTION,42.3,ACTED
INT-000160,CMP-000160,JURISDICTION_HANDOFF,NO_ACTION,14.18,ACTED
INT-000161,CMP-000161,ENDPOINT_WATCH,SUCCESS,3.32,ACTED
INT-000162,CMP-000162,NO_ACTION,SUCCESS,43.41,ACTED
INT-000163,CMP-000163,LIEN_MARK,PARTIAL,34.84,NOT_ACTED
INT-000164,CMP-000164,ENDPOINT_WATCH,SUCCESS,33.51,ACTED
INT-000165,CMP-000165,LIEN_MARK,SUCCESS,26.53,ACTED
INT-000166,CMP-000166,JURISDICTION_HANDOFF,SUCCESS,3.28,ALREADY_ACTIONED
INT-000167,CMP-000167,JURISDICTION_HANDOFF,SUCCESS,29.13,OUT_OF_SCOPE
INT-000168,CMP-000168,NO_ACTION,SUCCESS,5.15,OUT_OF_SCOPE
INT-000169,CMP-000169,JURISDICTION_HANDOFF,SUCCESS,35.85,ACTED
INT-000170,CMP-000170,JURISDICTION_HANDOFF,SUCCESS,16.91,OUT_OF_SCOPE
INT-000171,CMP-000171,LIEN_MARK,SUCCESS,9.47,ACTED
INT-000172,CMP-000172,ENDPOINT_WATCH,SUCCESS,5.48,ACTED
INT-000173,CMP-000173,ACCOUNT_FREEZE,SUCCESS,27.19,NOT_ACTED
INT-000174,CMP-000174,ENDPOINT_WATCH,PARTIAL,43.84,NOT_ACTED
INT-000175,CMP-000175,ENDPOINT_WATCH,NO_ACTION,47.86,ACTED
INT-000176,CMP-000176,ENDPOINT_WATCH,SUCCESS,7.17,FALSE_POSITIVE
INT-000177,CMP-000177,ACCOUNT_FREEZE,PARTIAL,27.24,ALREADY_ACTIONED
INT-000178,CMP-000178,ACCOUNT_FREEZE,SUCCESS,19.45,ACTED
INT-000179,CMP-000179,JURISDICTION_HANDOFF,SUCCESS,6.19,ALREADY_ACTIONED
INT-000180,CMP-000180,JURISDICTION_HANDOFF,SUCCESS,46.42,ACTED
INT-000181,CMP-000181,JURISDICTION_HANDOFF,NO_ACTION,32.8,FALSE_POSITIVE
INT-000182,CMP-000182,ACCOUNT_FREEZE,NO_ACTION,45.61,ACTED
INT-000183,CMP-000183,JURISDICTION_HANDOFF,NO_ACTION,42.15,ACTED
INT-000184,CMP-000184,NO_ACTION,PARTIAL,10.68,ACTED
INT-000185,CMP-000185,LIEN_MARK,SUCCESS,36.47,NOT_ACTED
INT-000186,CMP-000186,ACCOUNT_FREEZE,SUCCESS,41.78,ACTED
INT-000187,CMP-000187,LIEN_MARK,SUCCESS,13.53,ACTED
INT-000188,CMP-000188,NO_ACTION,PARTIAL,8.76,ACTED
INT-000189,CMP-000189,NO_ACTION,SUCCESS,29.2,NOT_ACTED
INT-000190,CMP-000190,LIEN_MARK,SUCCESS,6.13,ALREADY_ACTIONED
INT-000191,CMP-000191,ENDPOINT_WATCH,PARTIAL,42.56,ACTED
INT-000192,CMP-000192,ACCOUNT_FREEZE,PARTIAL,40.14,ALREADY_ACTIONED
INT-000193,CMP-000193,NO_ACTION,NO_ACTION,34.41,FALSE_POSITIVE
INT-000194,CMP-000194,NO_ACTION,SUCCESS,13.34,OUT_OF_SCOPE
INT-000195,CMP-000195,LIEN_MARK,SUCCESS,45.56,NOT_ACTED
INT-000196,CMP-000196,JURISDICTION_HANDOFF,SUCCESS,35.51,NOT_ACTED
INT-000197,CMP-000197,ENDPOINT_WATCH,SUCCESS,11.95,FALSE_POSITIVE
INT-000198,CMP-000198,ENDPOINT_WATCH,SUCCESS,19.43,NOT_ACTED
INT-000199,CMP-000199,ENDPOINT_WATCH,SUCCESS,20.03,ACTED
INT-000200,CMP-000200,ACCOUNT_FREEZE,SUCCESS,23.51,ALREADY_ACTIONED
INT-000201,CMP-000201,JURISDICTION_HANDOFF,SUCCESS,18.71,OUT_OF_SCOPE
INT-000202,CMP-000202,JURISDICTION_HANDOFF,SUCCESS,20.23,FALSE_POSITIVE
INT-000203,CMP-000203,ENDPOINT_WATCH,SUCCESS,24.63,NOT_ACTED
INT-000204,CMP-000204,ACCOUNT_FREEZE,SUCCESS,13.01,OUT_OF_SCOPE
INT-000205,CMP-000205,ACCOUNT_FREEZE,PARTIAL,37.15,ALREADY_ACTIONED
INT-000206,CMP-000206,JURISDICTION_HANDOFF,PARTIAL,31.86,ACTED
INT-000207,CMP-000207,NO_ACTION,PARTIAL,22.09,ACTED
INT-000208,CMP-000208,ACCOUNT_FREEZE,NO_ACTION,46.43,ACTED
INT-000209,CMP-000209,JURISDICTION_HANDOFF,SUCCESS,15.19,FALSE_POSITIVE
INT-000210,CMP-000210,JURISDICTION_HANDOFF,NO_ACTION,9.12,ACTED
INT-000211,CMP-000211,JURISDICTION_HANDOFF,NO_ACTION,11.75,OUT_OF_SCOPE
INT-000212,CMP-000212,LIEN_MARK,PARTIAL,4.63,NOT_ACTED
INT-000213,CMP-000213,NO_ACTION,NO_ACTION,9.18,OUT_OF_SCOPE
INT-000214,CMP-000214,ENDPOINT_WATCH,SUCCESS,8.56,ACTED
INT-000215,CMP-000215,LIEN_MARK,NO_ACTION,40.12,ACTED
INT-000216,CMP-000216,NO_ACTION,NO_ACTION,29.16,ALREADY_ACTIONED
INT-000217,CMP-000217,ACCOUNT_FREEZE,SUCCESS,8.28,ACTED
INT-000218,CMP-000218,LIEN_MARK,PARTIAL,5.95,ALREADY_ACTIONED
INT-000219,CMP-000219,ACCOUNT_FREEZE,NO_ACTION,21.83,ACTED
INT-000220,CMP-000220,JURISDICTION_HANDOFF,NO_ACTION,11.76,ALREADY_ACTIONED
INT-000221,CMP-000221,JURISDICTION_HANDOFF,SUCCESS,33.51,NOT_ACTED
INT-000222,CMP-000222,ACCOUNT_FREEZE,NO_ACTION,10.57,NOT_ACTED
INT-000223,CMP-000223,LIEN_MARK,SUCCESS,3.81,ACTED
INT-000224,CMP-000224,ENDPOINT_WATCH,PARTIAL,13.96,ACTED
INT-000225,CMP-000225,LIEN_MARK,PARTIAL,40.26,ACTED
INT-000226,CMP-000226,ENDPOINT_WATCH,NO_ACTION,26.08,ACTED
INT-000227,CMP-000227,ACCOUNT_FREEZE,SUCCESS,43.08,NOT_ACTED
INT-000228,CMP-000228,LIEN_MARK,SUCCESS,47.78,NOT_ACTED
INT-000229,CMP-000229,ACCOUNT_FREEZE,NO_ACTION,12.51,ALREADY_ACTIONED
INT-000230,CMP-000230,ENDPOINT_WATCH,SUCCESS,34.51,NOT_ACTED
INT-000231,CMP-000231,JURISDICTION_HANDOFF,NO_ACTION,35.04,NOT_ACTED
INT-000232,CMP-000232,LIEN_MARK,PARTIAL,35.23,ALREADY_ACTIONED
INT-000233,CMP-000233,NO_ACTION,SUCCESS,17.74,NOT_ACTED
INT-000234,CMP-000234,LIEN_MARK,SUCCESS,36.8,NOT_ACTED
INT-000235,CMP-000235,LIEN_MARK,SUCCESS,36.54,NOT_ACTED
INT-000236,CMP-000236,NO_ACTION,NO_ACTION,20.27,NOT_ACTED
INT-000237,CMP-000237,ENDPOINT_WATCH,SUCCESS,19.59,OUT_OF_SCOPE
INT-000238,CMP-000238,JURISDICTION_HANDOFF,NO_ACTION,34.03,ALREADY_ACTIONED
INT-000239,CMP-000239,ENDPOINT_WATCH,PARTIAL,25.55,ACTED
INT-000240,CMP-000240,ENDPOINT_WATCH,SUCCESS,10.07,OUT_OF_SCOPE
INT-000241,CMP-000241,NO_ACTION,SUCCESS,43.86,NOT_ACTED
INT-000242,CMP-000242,NO_ACTION,NO_ACTION,41.9,ALREADY_ACTIONED
INT-000243,CMP-000243,ENDPOINT_WATCH,PARTIAL,10.0,ACTED
INT-000244,CMP-000244,JURISDICTION_HANDOFF,NO_ACTION,13.31,NOT_ACTED
INT-000245,CMP-000245,ACCOUNT_FREEZE,SUCCESS,14.31,ALREADY_ACTIONED
INT-000246,CMP-000246,JURISDICTION_HANDOFF,NO_ACTION,17.82,ACTED
INT-000247,CMP-000247,LIEN_MARK,NO_ACTION,8.86,ACTED
INT-000248,CMP-000248,NO_ACTION,PARTIAL,27.88,ACTED
INT-000249,CMP-000249,ENDPOINT_WATCH,SUCCESS,31.93,ALREADY_ACTIONED
