transaction_id,complaint_id,timestamp,sender_entity_id,receiver_entity_id,amount,channel,behaviour_label
TX-0000001,CMP-000918,2026-05-12T13:18:29+00:00,ENT-005697,ENT-004967,9217.52,CASH,NORMAL
TX-0000002,CMP-009941,2026-02-03T06:50:57+00:00,ENT-008322,ENT-001079,91065.97,UPI,NORMAL
TX-0000003,CMP-002110,2026-02-02T14:31:08+00:00,ENT-000924,ENT-007752,5216.63,UPI,SUSPICIOUS
TX-0000004,CMP-006567,2026-05-24T16:28:46+00:00,ENT-007788,ENT-008797,150352.97,AEPS,SUSPICIOUS
TX-0000005,CMP-000697,2026-02-16T21:32:47+00:00,ENT-009012,ENT-010571,226120.11,IMPS,NORMAL
TX-0000006,CMP-008601,2026-04-14T10:42:34+00:00,ENT-006225,ENT-004181,3607.16,NEFT,NORMAL
TX-0000007,CMP-008626,2026-05-03T09:28:22+00:00,ENT-001616,ENT-005110,1798.99,NEFT,NORMAL
TX-0000008,CMP-000894,2026-02-07T11:32:11+00:00,ENT-008108,ENT-011267,18324.58,UPI,NORMAL
TX-0000009,CMP-002574,2026-04-05T03:39:45+00:00,ENT-006357,ENT-003645,2581.18,UPI,NORMAL
TX-0000010,CMP-006336,2026-04-28T15:58:44+00:00,ENT-005057,ENT-002776,25328.67,IMPS,NORMAL
TX-0000011,CMP-005893,2026-01-02T06:18:14+00:00,ENT-010519,ENT-003355,56451.53,AEPS,NORMAL
TX-0000012,CMP-000752,2026-06-22T19:35:29+00:00,ENT-002979,ENT-002309,8797.48,NEFT,NORMAL
TX-0000013,CMP-006855,2026-06-01T16:12:13+00:00,ENT-004556,ENT-007091,6965.93,AEPS,NORMAL
TX-0000014,CMP-000191,2026-03-27T01:39:07+00:00,ENT-006048,ENT-010895,49188.87,IMPS,NORMAL
TX-0000015,CMP-000822,2026-03-30T08:35:42+00:00,ENT-010614,ENT-005579,20874.75,AEPS,SUSPICIOUS
TX-0000016,CMP-003636,2026-04-30T14:23:44+00:00,ENT-002687,ENT-011017,8284.64,UPI,NORMAL
TX-0000017,CMP-004088,2026-04-15T01:57:34+00:00,ENT-002629,ENT-002072,5944.66,AEPS,SUSPICIOUS
TX-0000018,CMP-003925,2026-05-02T14:03:52+00:00,ENT-009274,ENT-001492,7542.03,IMPS,SUSPICIOUS
TX-0000019,CMP-007393,2026-04-13T13:10:54+00:00,ENT-007446,ENT-009945,22746.05,UPI,NORMAL
TX-0000020,CMP-004819,2026-04-27T04:32:46+00:00,ENT-009010,ENT-005426,7310.58,AEPS,NORMAL
TX-0000021,CMP-003193,2026-02-16T14:28:11+00:00,ENT-002567,ENT-003125,1850.68,CARD,SUSPICIOUS
TX-0000022,CMP-002749,2026-05-10T13:50:05+00:00,ENT-003791,ENT-009968,2614.33,AEPS,NORMAL
TX-0000023,CMP-001087,2026-04-30T18:36:09+00:00,ENT-008542,ENT-004311,3780.06,UPI,NORMAL
TX-0000024,CMP-008977,2026-01-19T06:52:14+00:00,ENT-007756,ENT-002691,10856.31,UPI,NORMAL
TX-0000025,CMP-006101,2026-05-14T08:05:40+00:00,ENT-000592,ENT-004972,6997.98,CARD,NORMAL
TX-0000026,CMP-000722,2026-02-26T23:50:20+00:00,ENT-011021,ENT-004317,13853.66,AEPS,NORMAL
TX-0000027,CMP-004905,2026-04-22T05:17:46+00:00,ENT-006220,ENT-008060,4547.45,UPI,SUSPICIOUS
TX-0000028,CMP-001438,2026-02-04T10:59:38+00:00,ENT-010965,ENT-003005,872.83,CARD,NORMAL
TX-0000029,CMP-002872,2026-06-14T00:10:09+00:00,ENT-005739,ENT-007682,12885.65,CARD,NORMAL
TX-0000030,CMP-006887,2026-02-28T19:32:02+00:00,ENT-007269,ENT-000392,6685.89,IMPS,SUSPICIOUS
TX-0000031,CMP-008375,2026-02-02T17:45:26+00:00,ENT-001916,ENT-005550,26635.93,NEFT,SUSPICIOUS
TX-0000032,CMP-003260,2026-05-06T06:37:33+00:00,ENT-009404,ENT-005564,17179.77,IMPS,SUSPICIOUS
TX-0000033,CMP-001787,2026-02-19T06:02:43+00:00,ENT-010396,ENT-004807,9616.65,UPI,NORMAL
TX-0000034,CMP-006612,2026-05-12T22:17:23+00:00,ENT-009205,ENT-003345,3251.37,UPI,NORMAL
TX-0000035,CMP-008372,2026-01-30T09:29:29+00:00,ENT-003850,ENT-011074,2475.91,UPI,NORMAL
TX-0000036,CMP-001397,2026-03-27T11:05:22+00:00,ENT-011222,ENT-000639,4975.12,CASH,NORMAL
TX-0000037,CMP-005956,2026-01-18T08:43:54+00:00,ENT-006950,ENT-010695,66476.88,CASH,SUSPICIOUS
TX-0000038,CMP-003705,2026-01-24T02:06:06+00:00,ENT-005416,ENT-002268,25141.73,NEFT,SUSPICIOUS
TX-0000039,CMP-008952,2026-03-31T18:17:45+00:00,ENT-000738,ENT-002132,25288.57,UPI,NORMAL
TX-0000040,CMP-004517,2026-04-26T00:58:05+00:00,ENT-011637,ENT-010868,50543.81,CASH,NORMAL
TX-0000041,CMP-007485,2026-06-20T11:32:20+00:00,ENT-002411,ENT-003004,19525.13,NEFT,NORMAL
TX-0000042,CMP-003374,2026-02-09T07:37:55+00:00,ENT-001378,ENT-000658,1542.59,CARD,NORMAL
TX-0000043,CMP-004808,2026-04-10T19:12:46+00:00,ENT-008289,ENT-011653,4327.35,NEFT,NORMAL
TX-0000044,CMP-002303,2026-04-28T12:53:53+00:00,ENT-008160,ENT-008627,2207.63,AEPS,NORMAL
TX-0000045,CMP-007554,2026-03-26T21:46:16+00:00,ENT-006860,ENT-006883,23183.69,UPI,SUSPICIOUS
TX-0000046,CMP-001114,2026-05-28T02:42:35+00:00,ENT-000510,ENT-004671,8465.6,AEPS,NORMAL
TX-0000047,CMP-005215,2026-01-21T10:02:21+00:00,ENT-011312,ENT-009478,15770.24,UPI,SUSPICIOUS
TX-0000048,CMP-000798,2026-05-04T04:01:23+00:00,ENT-010875,ENT-004445,2869.01,IMPS,NORMAL
TX-0000049,CMP-009090,2026-04-17T16:17:59+00:00,ENT-002648,ENT-001884,34121.49,AEPS,SUSPICIOUS
TX-0000050,CMP-009030,2026-03-27T11:58:39+00:00,ENT-003570,ENT-002099,19778.41,IMPS,NORMAL
TX-0000051,CMP-002106,2026-02-21T00:32:14+00:00,ENT-003245,ENT-010477,10997.21,AEPS,NORMAL
TX-0000052,CMP-001652,2026-02-18T09:03:15+00:00,ENT-008973,ENT-000043,1468.65,IMPS,SUSPICIOUS
TX-0000053,CMP-009396,2026-04-09T04:17:02+00:00,ENT-007366,ENT-003705,5397.35,CARD,NORMAL
TX-0000054,CMP-008625,2026-03-17T10:25:47+00:00,ENT-000034,ENT-010252,2259.02,UPI,SUSPICIOUS
TX-0000055,CMP-006143,2026-01-20T05:57:36+00:00,ENT-010991,ENT-010007,50518.3,IMPS,NORMAL
TX-0000056,CMP-003886,2026-03-22T13:46:48+00:00,ENT-000539,ENT-000262,4449.37,CASH,SUSPICIOUS
TX-0000057,CMP-007369,2026-05-09T05:00:44+00:00,ENT-003382,ENT-009301,3832.11,UPI,SUSPICIOUS
TX-0000058,CMP-009081,2026-03-28T15:14:10+00:00,ENT-010340,ENT-001790,7291.53,CARD,NORMAL
TX-0000059,CMP-008024,2026-03-17T16:35:10+00:00,ENT-002430,ENT-007055,6762.31,AEPS,NORMAL
TX-0000060,CMP-005068,2026-01-31T02:13:07+00:00,ENT-002118,ENT-010892,4022.75,UPI,NORMAL
TX-0000061,CMP-008373,2026-03-30T15:18:57+00:00,ENT-011149,ENT-004860,524.98,AEPS,NORMAL
TX-0000062,CMP-007462,2026-05-04T23:19:11+00:00,ENT-003435,ENT-007627,7582.86,UPI,NORMAL
TX-0000063,CMP-005843,2026-05-01T04:41:38+00:00,ENT-011381,ENT-004042,4428.19,NEFT,NORMAL
TX-0000064,CMP-005466,2026-04-10T00:30:37+00:00,ENT-004376,ENT-003188,1705.98,AEPS,NORMAL
TX-0000065,CMP-002812,2026-02-13T06:22:21+00:00,ENT-001475,ENT-008335,2297.43,UPI,NORMAL
TX-0000066,CMP-005710,2026-04-07T11:18:55+00:00,ENT-008192,ENT-006689,12515.53,CARD,NORMAL
TX-0000067,CMP-006473,2026-06-22T12:27:30+00:00,ENT-008253,ENT-008026,422.36,AEPS,NORMAL
TX-0000068,CMP-008161,2026-04-17T21:33:21+00:00,ENT-008678,ENT-004892,9946.66,AEPS,SUSPICIOUS
TX-0000069,CMP-000654,2026-05-30T18:42:58+00:00,ENT-000143,ENT-007084,2350.97,UPI,SUSPICIOUS
TX-0000070,CMP-009613,2026-03-11T14:09:57+00:00,ENT-003853,ENT-001641,13352.59,UPI,NORMAL
TX-0000071,CMP-008383,2026-06-03T20:39:06+00:00,ENT-007234,ENT-009934,53791.31,UPI,SUSPICIOUS
TX-0000072,CMP-001407,2026-03-14T04:01:19+00:00,ENT-004742,ENT-011726,2366.36,NEFT,SUSPICIOUS
TX-0000073,CMP-002441,2026-06-26T03:43:01+00:00,ENT-003892,ENT-008947,34884.11,IMPS,NORMAL
TX-0000074,CMP-002042,2026-02-15T06:10:58+00:00,ENT-000841,ENT-000681,27191.78,UPI,SUSPICIOUS
TX-0000075,CMP-009983,2026-05-26T06:22:02+00:00,ENT-009342,ENT-007030,104428.67,UPI,NORMAL
TX-0000076,CMP-004916,2026-01-27T14:47:22+00:00,ENT-009454,ENT-001481,8530.4,AEPS,NORMAL
TX-0000077,CMP-000458,2026-02-20T10:26:34+00:00,ENT-003650,ENT-010303,163700.16,AEPS,NORMAL
TX-0000078,CMP-007298,2025-12-31T04:45:42+00:00,ENT-000186,ENT-011897,11203.97,UPI,NORMAL
TX-0000079,CMP-008253,2026-05-16T05:10:42+00:00,ENT-009543,ENT-004226,15712.62,AEPS,NORMAL
TX-0000080,CMP-005382,2026-01-26T05:50:35+00:00,ENT-008639,ENT-007103,1064.65,NEFT,SUSPICIOUS
TX-0000081,CMP-001088,2026-03-23T09:39:02+00:00,ENT-003276,ENT-005765,2273.94,UPI,NORMAL
TX-0000082,CMP-004805,2026-04-11T12:57:33+00:00,ENT-010494,ENT-009697,2878.17,CASH,NORMAL
TX-0000083,CMP-004618,2026-02-20T17:54:57+00:00,ENT-010946,ENT-007272,5925.19,UPI,SUSPICIOUS
TX-0000084,CMP-009806,2026-05-09T09:47:55+00:00,ENT-006400,ENT-004524,13705.39,UPI,NORMAL
TX-0000085,CMP-003555,2026-02-05T15:04:46+00:00,ENT-005957,ENT-002824,10797.66,UPI,NORMAL
TX-0000086,CMP-005544,2026-04-02T16:58:12+00:00,ENT-000325,ENT-004460,54073.12,UPI,SUSPICIOUS
TX-0000087,CMP-000651,2026-02-17T02:07:22+00:00,ENT-009562,ENT-006733,7555.67,UPI,NORMAL
TX-0000088,CMP-005199,2026-04-21T22:07:54+00:00,ENT-009705,ENT-007892,5825.61,NEFT,NORMAL
TX-0000089,CMP-009790,2026-05-22T15:58:31+00:00,ENT-010185,ENT-005217,1996.93,UPI,NORMAL
TX-0000090,CMP-007809,2026-06-12T03:09:26+00:00,ENT-001740,ENT-008407,6256.47,NEFT,NORMAL
TX-0000091,CMP-007250,2026-01-17T12:26:16+00:00,ENT-000615,ENT-006708,13304.13,CASH,NORMAL
TX-0000092,CMP-009436,2026-05-15T12:56:11+00:00,ENT-007253,ENT-006202,9874.5,CARD,NORMAL
TX-0000093,CMP-008949,2026-02-28T22:27:05+00:00,ENT-006613,ENT-006684,56695.44,UPI,SUSPICIOUS
TX-0000094,CMP-004523,2026-05-23T04:30:23+00:00,ENT-008727,ENT-002722,69528.12,UPI,NORMAL
TX-0000095,CMP-000010,2026-01-28T16:34:37+00:00,ENT-003880,ENT-003814,21614.87,UPI,SUSPICIOUS
TX-0000096,CMP-007818,2026-06-12T17:10:17+00:00,ENT-006362,ENT-000392,3354.57,UPI,SUSPICIOUS
TX-0000097,CMP-005805,2026-01-30T23:32:22+00:00,ENT-007659,ENT-009774,13628.52,AEPS,SUSPICIOUS
TX-0000098,CMP-005267,2026-03-07T01:36:27+00:00,ENT-010045,ENT-010518,6124.99,UPI,NORMAL
TX-0000099,CMP-002004,2026-02-15T04:57:24+00:00,ENT-004245,ENT-007644,44362.24,NEFT,NORMAL
TX-0000100,CMP-001866,2026-05-05T01:42:43+00:00,ENT-011150,ENT-004225,5963.2,UPI,NORMAL
TX-0000101,CMP-002316,2026-04-15T01:27:49+00:00,ENT-010267,ENT-007028,4217.49,UPI,NORMAL
TX-0000102,CMP-001880,2026-03-14T12:20:13+00:00,ENT-006511,ENT-002533,19918.42,NEFT,SUSPICIOUS
TX-0000103,CMP-000285,2026-04-14T23:01:36+00:00,ENT-008482,ENT-007173,12715.06,UPI,SUSPICIOUS
TX-0000104,CMP-004261,2025-12-29T19:01:10+00:00,ENT-006797,ENT-006396,14707.17,IMPS,NORMAL
TX-0000105,CMP-004322,2026-06-15T01:45:21+00:00,ENT-008697,ENT-000947,2909.69,NEFT,NORMAL
TX-0000106,CMP-004508,2026-03-18T10:49:42+00:00,ENT-001420,ENT-004304,3898.16,AEPS,NORMAL
TX-0000107,CMP-007760,2026-05-25T09:23:55+00:00,ENT-008104,ENT-009058,12212.89,NEFT,NORMAL
TX-0000108,CMP-009746,2026-04-18T11:21:30+00:00,ENT-005728,ENT-009296,3431.27,AEPS,NORMAL
TX-0000109,CMP-001819,2026-05-17T01:15:36+00:00,ENT-011888,ENT-003324,6952.68,CARD,SUSPICIOUS
TX-0000110,CMP-001877,2026-03-04T18:28:37+00:00,ENT-002560,ENT-003435,36931.1,UPI,NORMAL
TX-0000111,CMP-001699,2026-01-20T17:44:07+00:00,ENT-008093,ENT-009388,21707.26,UPI,SUSPICIOUS
TX-0000112,CMP-009077,2026-01-23T18:45:54+00:00,ENT-005731,ENT-008059,6921.14,AEPS,NORMAL
TX-0000113,CMP-006838,2026-06-10T19:30:32+00:00,ENT-000819,ENT-005621,11925.04,IMPS,SUSPICIOUS
TX-0000114,CMP-005124,2026-04-22T04:51:31+00:00,ENT-006889,ENT-004401,6770.93,UPI,NORMAL
TX-0000115,CMP-007645,2026-06-01T16:59:01+00:00,ENT-011586,ENT-008221,7493.2,NEFT,NORMAL
TX-0000116,CMP-004554,2026-06-04T10:59:45+00:00,ENT-010794,ENT-007915,7700.15,UPI,SUSPICIOUS
TX-0000117,CMP-004684,2026-03-19T23:09:08+00:00,ENT-000226,ENT-010025,1194.3,IMPS,NORMAL
TX-0000118,CMP-007013,2026-05-22T17:16:30+00:00,ENT-007492,ENT-000961,10335.96,UPI,NORMAL
TX-0000119,CMP-006698,2026-06-01T20:24:07+00:00,ENT-002907,ENT-005741,19333.71,UPI,NORMAL
TX-0000120,CMP-005387,2026-05-17T18:29:51+00:00,ENT-002520,ENT-005799,17313.03,UPI,SUSPICIOUS
TX-0000121,CMP-005262,2026-05-16T03:33:59+00:00,ENT-010740,ENT-006299,5254.86,UPI,NORMAL
TX-0000122,CMP-006230,2026-02-17T22:36:36+00:00,ENT-000191,ENT-004629,23425.52,UPI,NORMAL
TX-0000123,CMP-007135,2026-02-21T06:59:39+00:00,ENT-004108,ENT-011532,6103.99,NEFT,NORMAL
TX-0000124,CMP-007870,2026-04-15T00:41:40+00:00,ENT-010497,ENT-011877,14625.11,UPI,NORMAL
TX-0000125,CMP-006686,2026-05-18T21:55:54+00:00,ENT-001300,ENT-007073,52736.25,AEPS,NORMAL
TX-0000126,CMP-001179,2026-01-26T01:16:34+00:00,ENT-005034,ENT-004275,4282.82,UPI,SUSPICIOUS
TX-0000127,CMP-001159,2026-03-12T20:25:14+00:00,ENT-004174,ENT-010894,31588.65,UPI,NORMAL
TX-0000128,CMP-008724,2026-05-14T08:40:53+00:00,ENT-004764,ENT-005795,77991.83,CASH,NORMAL
TX-0000129,CMP-001742,2026-02-04T20:50:37+00:00,ENT-002308,ENT-008533,251680.81,UPI,SUSPICIOUS
TX-0000130,CMP-003679,2026-06-01T04:06:09+00:00,ENT-011908,ENT-011418,23982.46,IMPS,NORMAL
TX-0000131,CMP-003014,2026-04-05T12:17:33+00:00,ENT-009774,ENT-000675,3743.17,AEPS,SUSPICIOUS
TX-0000132,CMP-001551,2026-05-18T15:18:47+00:00,ENT-011721,ENT-006420,6961.76,CARD,NORMAL
TX-0000133,CMP-003251,2026-01-08T07:00:52+00:00,ENT-008764,ENT-006534,59527.36,CASH,SUSPICIOUS
TX-0000134,CMP-006422,2026-06-16T09:38:58+00:00,ENT-002862,ENT-005407,12578.89,UPI,NORMAL
TX-0000135,CMP-001299,2026-04-08T15:31:38+00:00,ENT-010596,ENT-004721,6650.53,UPI,NORMAL
TX-0000136,CMP-004627,2026-04-28T15:35:50+00:00,ENT-001706,ENT-009246,44608.77,UPI,NORMAL
TX-0000137,CMP-008993,2026-06-20T15:07:53+00:00,ENT-008678,ENT-008198,1310.99,CASH,NORMAL
TX-0000138,CMP-000560,2026-06-05T22:43:07+00:00,ENT-002741,ENT-009912,16837.68,IMPS,NORMAL
TX-0000139,CMP-003474,2026-02-18T06:21:33+00:00,ENT-003719,ENT-011992,6873.32,UPI,NORMAL
TX-0000140,CMP-001024,2026-04-08T01:31:37+00:00,ENT-002117,ENT-011461,93155.22,CARD,NORMAL
TX-0000141,CMP-002275,2026-05-06T04:23:23+00:00,ENT-008207,ENT-001696,19462.41,UPI,NORMAL
TX-0000142,CMP-002368,2026-03-16T07:55:54+00:00,ENT-004260,ENT-007163,849.88,UPI,NORMAL
TX-0000143,CMP-005440,2026-06-22T21:47:43+00:00,ENT-000642,ENT-011950,14494.38,NEFT,NORMAL
TX-0000144,CMP-002781,2026-04-21T16:03:23+00:00,ENT-010335,ENT-008391,11410.7,CARD,SUSPICIOUS
TX-0000145,CMP-007260,2026-06-16T18:15:09+00:00,ENT-001747,ENT-010422,2925.2,AEPS,SUSPICIOUS
TX-0000146,CMP-007081,2026-01-16T22:09:53+00:00,ENT-007851,ENT-004697,73480.73,NEFT,NORMAL
TX-0000147,CMP-004974,2026-02-11T15:22:54+00:00,ENT-000667,ENT-005553,8138.25,AEPS,NORMAL
TX-0000148,CMP-003646,2026-05-02T00:13:00+00:00,ENT-001901,ENT-002435,2537.29,UPI,NORMAL
TX-0000149,CMP-004174,2026-04-27T23:27:02+00:00,ENT-011696,ENT-006708,8003.21,CASH,NORMAL
TX-0000150,CMP-009586,2026-01-25T03:24:45+00:00,ENT-001585,ENT-007210,20300.67,AEPS,NORMAL
TX-0000151,CMP-004180,2026-03-25T03:54:43+00:00,ENT-003136,ENT-004656,34072.6,UPI,SUSPICIOUS
